name,university,university_state,carnegie,discipline,rmp_url,tenure_year,confidence,confidence_label,rank,num_ratings,professor_id
Chetan Jaiswal,Quinnipiac University,CT,R2,Computer Science,https://www.ratemyprofessors.com/professor/2843073,2022.0,0.85,high,Associate Professor,8,2843073
Bobby McCloud,Sacred Heart University,CT,R2,Computer Science,https://www.ratemyprofessors.com/professor/94940,2021.0,0.9,high,Associate Professor,42,94940
Sandy Honda,Sacred Heart University,CT,R2,Computer Science,https://www.ratemyprofessors.com/professor/104124,,0.4,low,Associate Professor,28,104124
Domenick Pinto,Sacred Heart University,CT,R2,Computer Science,https://www.ratemyprofessors.com/professor/498471,1982.0,0.7,medium,Associate Professor,24,498471
Mohsen Javadian,Texas Southern University,TX,R2,Computer Science,https://www.ratemyprofessors.com/professor/649858,2016.0,0.7,medium,Associate Professor,18,649858
Robert Jacob,Tufts University,MA,R1,Computer Science,https://www.ratemyprofessors.com/professor/183283,,0.4,low,Full Professor,16,183283
Fahad Dogar,Tufts University,MA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2098759,2026.0,0.9,high,Associate Professor,10,2098759
Mahmut Unan,University of Alabama at Birmingham,AL,R1,Computer Science,https://www.ratemyprofessors.com/professor/2444442,2024.0,0.7,medium,Associate Professor,98,2444442
John Johnstone,University of Alabama at Birmingham,AL,R1,Computer Science,https://www.ratemyprofessors.com/professor/260537,2000.0,0.85,high,Associate Professor,43,260537
Chia-Chu Chiang,University of Arkansas at Little Rock,AR,R2,Computer Science,https://www.ratemyprofessors.com/professor/1198073,,0.4,low,Full Professor,14,1198073
Amr El Abbadi,"University of California, Santa Barbara",CA,R1,Computer Science,https://www.ratemyprofessors.com/professor/60790,,0.4,low,Full Professor,36,60790
Trinabh Gupta,"University of California, Santa Barbara",CA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2603957,2024.0,0.9,high,Associate Professor,6,2603957
Trinabh Gupta,"University of California, Santa Cruz",CA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2603957,2024.0,0.95,high,Associate Professor,6,2603957
Vamsi Paruchuri,University of Central Arkansas,AR,R2,Computer Science,https://www.ratemyprofessors.com/professor/1056727,2017.0,0.7,medium,Full Professor,73,1056727
Yu Sun,University of Central Arkansas,AR,R2,Computer Science,https://www.ratemyprofessors.com/professor/765898,,0.4,low,Associate Professor,19,765898
Gowtham Atluri,University of Cincinnati,OH,R1,Computer Science,https://www.ratemyprofessors.com/professor/2234536,2022.0,0.7,medium,Associate Professor,9,2234536
Swastik Brahma,University of Cincinnati,OH,R1,Computer Science,https://www.ratemyprofessors.com/professor/2943511,2022.0,0.95,high,Associate Professor,7,2943511
Austin Bart,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2402842,,0.4,low,Associate Professor,84,2402842
Chien-Chung Shen,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2625,2004.0,0.7,medium,Full Professor,27,2625
Lena Mashayekhy,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2230514,2021.0,0.7,medium,Associate Professor,15,2230514
Xi Peng,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2509974,2025.0,0.95,high,Associate Professor,15,2509974
Rui Zhang,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2185495,2021.0,0.95,high,Associate Professor,13,2185495
Guangmo Tong,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2496355,2024.0,0.95,high,Associate Professor,9,2496355
Roghayeh Barmaki,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/2496465,2025.0,0.9,high,Associate Professor,9,2496465
James Clause,University of Delaware,DE,R1,Computer Science,https://www.ratemyprofessors.com/professor/1922105,2017.0,0.95,high,Associate Professor,9,1922105
Amin Alipour,University of Houston,TX,R1,Computer Science,https://www.ratemyprofessors.com/professor/2452945,2023.0,0.7,medium,Associate Professor,11,2452945
Drew Davidson,University of Kansas,KS,R1,Computer Science,https://www.ratemyprofessors.com/professor/2441770,2021.0,0.9,high,Associate Professor,25,2441770
Morteza Hashemi,University of Kansas,KS,R1,Computer Science,https://www.ratemyprofessors.com/professor/2836198,2025.0,0.7,medium,Associate Professor,15,2836198
James Kukla,University of Maryland Baltimore County,MD,R2,Computer Science,https://www.ratemyprofessors.com/professor/1984398,2006.0,0.7,medium,Associate Professor,16,1984398
A. B. Stephens,University of Maryland Baltimore County,MD,R2,Computer Science,https://www.ratemyprofessors.com/professor/46455,,0.4,low,Full Professor,16,46455
Mitch Edelman,University of Maryland Baltimore County,MD,R2,Computer Science,https://www.ratemyprofessors.com/professor/478931,,0.4,low,,14,478931
Tinoosh Mohsenin,University of Maryland Baltimore County,MD,R2,Computer Engineering,https://www.ratemyprofessors.com/professor/1893433,2024.0,0.9,high,Associate Professor,10,1893433
Victor Winter,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/1381231,,0.4,low,Full Professor,33,1381231
Hassan Farhat,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/521490,2002.0,0.85,high,Full Professor,32,521490
Brian Dorn,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/1847926,2016.0,0.7,medium,Associate Professor,30,1847926
